filename,codec,episode,episode_title,language,media_type,resolution,season,source,studio,title,year
The Mandalorian.S12E03.720p.AMZN.mkv,,3,,,tv,,12,,,The Mandalorian,
[Judas] Fullmetal Alchemist - 19 [2160p][10bit].mkv,,19,,,anime,2160p,,,Judas,Fullmetal Alchemist,
The Matrix 2004 1080p BDRip AVC.mkv,AVC,,,,movie,1080p,,BDRip,,The Matrix,2004
Death_Note_2008_2160p_BluRay_AVC_.YIFY.mkv,AVC,,,,movie,2160p,,BluRay,,Death Note,2008
Friends.s05e14.480p.HULU.mkv,,14,,,tv,,5,,,Friends,
Interstellar_1991_1080p_HULU_AAC_H.264.mkv,H.264,,,,movie,1080p,,HULU,,Interstellar,1991
The-Mandalorian.S12E17.New-Dawn.480p.mkv,,17,New Dawn,,tv,,12,,,The Mandalorian,
Game_of_Thrones.2020.1440p.NETFLIX.AVC.mkv,,,,,movie,1440p,,,,Game of Thrones,2020
[SubsPlease] Stranger.Things.-.24.(720p).mkv,,24,,,anime,720p,,,SubsPlease,Stranger Things,
Breaking-Bad.4x02.480p.HDTV.mkv,,2,,,tv,,4,,,Breaking Bad,
Attack on Titan.S07E01.The End.480p.mkv,,1,The End,,tv,,7,,,Attack on Titan,
[Commie] The Dark Knight - 22 [2160p][Multiple Subtitle].mkv,,22,,,anime,2160p,,,Commie,The Dark Knight,
Death-Note-2002-1080p-BluRay-DDP5.1-XVID-.GROUP.mkv,XVID,,,,movie,1080p,,BluRay,,Death Note,2002
[Commie] The.Matrix.-.10.(720p).mkv,,10,,,anime,720p,,,Commie,The Matrix,
Attack_on_Titan_5x17_The_Beginning_1080p_AMZN_x265_.GROUP.mkv,,17,Legacy,,tv,1080p,5,AMZN,,Attack on Titan,
[Commie] Interstellar - 13 [BD][2160p][Uncensored].mkv,,13,,,anime,2160p,,,Commie,Interstellar,
Inception S06E02 The Beginning 720p AMZN HEVC .VEXT.mkv,,2,Legacy,,tv,720p,6,AMZN,,Inception,
Stranger_Things_S07E05E06_Revelations_1080p_DVDRip_H.264_-YIFY.mkv,,5,Pilot,,tv,1080p,7,DVDRip,,Stranger Things,
[HorribleSubs] One Piece - 05 [720p][HEVC].mkv,,5,,,anime,720p,,,HorribleSubs,One Piece,
Inception.S09E17.720p.WEBRip.mkv,,17,,,tv,,9,,,Inception,
The Shawshank Redemption 2011 KOREAN REMASTERED 1440p FLAC HULU x265.mkv,x265,,,KOREAN,movie,1440p,,HULU,,The Shawshank Redemption,2011
Attack-on-Titan-S04E16-17-Legacy-REMASTERED-FLAC-1080p-HDTV-XVID-.RARBG.mkv,,16,Origins,,tv,1080p,4,HDTV,,Attack on Titan,
Naruto 1993 KOREAN 480p HDTV DTS XVID .RARBG.mkv,XVID,,,KOREAN,movie,480p,,HDTV,,Naruto,1993
The_Mandalorian.S10E03.New_Dawn.1440p.mkv,,3,New Dawn,,tv,,10,,,The Mandalorian,
Pulp-Fiction-2024-1080p-HULU-HEVC.mkv,HEVC,,,,movie,1080p,,HULU,,Pulp Fiction,2024
One_Piece_S06E06E07_480p_HDTV_H.264_-SPARKS.mkv,,6,,,tv,480p,6,HDTV,,One Piece,
[Judas] The Godfather - 04 [1440p][Multiple Subtitle].mkv,,4,,,anime,1440p,,,Judas,The Godfather,
The-Shawshank-Redemption.2019.720p.WEB-DL.XVID.mkv,,,,,movie,720p,,,,The Shawshank Redemption,2019
The Mandalorian.3x09.2160p.DVDRip.mkv,,9,,,tv,,3,,,The Mandalorian,
The-Godfather-1994-2160p-BluRay-HEVC-AMIABLE.mkv,HEVC,,,,movie,2160p,,BluRay,,The Godfather,1994
Naruto-1987-1440p-HDTV-DDP5.1-HEVC-.SPARKS.mkv,HEVC,,,,movie,1440p,,HDTV,,Naruto,1987
[Judas] The Mandalorian - 06 [720p][HEVC].mkv,,6,,,anime,720p,,,Judas,The Mandalorian,
Death Note 2009 720p BluRay x264 .GROUP.mkv,x264,,,,movie,720p,,BluRay,,Death Note,2009
Inception 1987 FRENCH 1080p WEBRip x264 .RARBG.mkv,x264,,,FRENCH,movie,1080p,,WEBRip,,Inception,1987
Friends 2004 ITALIAN REMASTERED 720p AAC WEBRip x264 -GECKOS.mkv,x264,,,ITALIAN,movie,720p,,WEBRip,,Friends,2004
Stranger_Things_S13E13_Legacy_2160p_MP3_BluRay_x264_.RARBG.mkv,,13,Aftermath,,tv,2160p,13,BluRay,,Stranger Things,
Avengers-Endgame.2002.1440p.BluRay.XVID.mkv,,,,,movie,1440p,,,,Avengers Endgame,2002
Death-Note-2009-720p-WEB-DL-DTS-HD.MA.5.1-AVC-.SPARKS.mkv,AVC,,,,movie,720p,,WEB-DL,,Death Note,2009
The-Dark-Knight-S08E09-10-Origins-480p-AAC-DVDRip-H.264.mkv,,9,The End,,tv,480p,8,DVDRip,,The Dark Knight,
The Mandalorian S12E05 2160p AMZN XVID.mkv,,5,,,tv,2160p,12,AMZN,,The Mandalorian,
[HorribleSubs] Avengers.Endgame.-.16.(1080p).mkv,,16,,,anime,1080p,,,HorribleSubs,Avengers Endgame,
[Judas] Avengers Endgame - 02 [2160p].mkv,,2,,,anime,2160p,,,Judas,Avengers Endgame,
The_Office_1991.01.10_1080p_REMASTERED_DDP5.1_HDTV_x265_-YIFY.mkv,,,,,tv,1080p,,HDTV,,The Office,
The_Mandalorian.2003.720p.WEB-DL.AVC.mkv,,,,,movie,720p,,,,The Mandalorian,2003
The Office S11E01-02 New Dawn 1440p HULU HEVC .YIFY.mkv,,1,Origins,,tv,1440p,11,HULU,,The Office,
Friends_1996_JAPANESE_DC_1080p_DVDRip_x264.mkv,x264,,,JAPANESE,movie,1080p,,DVDRip,,Friends,1996
Jujutsu-Kaisen-1994-HDR-1440p-WEBRip-AVC-.GROUP.mkv,AVC,,,,movie,1440p,,WEBRip,,Jujutsu Kaisen,1994
The.Godfather.S07E15.Aftermath.2160p.mkv,,15,Aftermath,,tv,,7,,,The Godfather,
The_Office_S13E04_1080p_BluRay_x264_.VEXT.mkv,,4,,,tv,1080p,13,BluRay,,The Office,
Demon_Slayer.1x17.2160p.BDRip.mkv,,17,,,tv,,1,,,Demon Slayer,
[Judas] One Piece - 08 [720p].mkv,,8,,,anime,,,,Judas,One Piece,
[HorribleSubs] Parasite.-.17.(2160p).mkv,,17,,,anime,2160p,,,HorribleSubs,Parasite,
[Erai-raws] The.Matrix.S2.-.10.(1440p).mkv,,10,,,anime,1440p,S2,,Erai-raws,The Matrix,
[Erai-raws] Parasite S3 - 03 [BD][1080p][Uncensored].mkv,,3,,,anime,1080p,S3,,Erai-raws,Parasite,
Naruto_12x06_1440p_REPACK_AC3_BDRip_H.264.mkv,,6,,,tv,1440p,12,BDRip,,Naruto,
Pulp-Fiction-2019-480p-HULU-HEVC-.AMIABLE.mkv,HEVC,,,,movie,480p,,HULU,,Pulp Fiction,2019
Parasite-S05E02-1440p-HDTV-AVC-.AMIABLE.mkv,,2,,,tv,1440p,5,HDTV,,Parasite,
[Judas] Attack on Titan - 19 [BD][1080p][DualAudio].mkv,,19,,,anime,1080p,,,Judas,Attack on Titan,
The Shawshank Redemption 2024.08.05 Revelations 1440p DD5.1 HDTV XVID.mkv,,,The Beginning,,tv,1440p,,HDTV,,The Shawshank Redemption,
Inception-S05E22-1080p-WEB-DL-XVID-VEXT.mkv,,22,,,tv,1080p,5,WEB-DL,,Inception,
Demon_Slayer_2021_GERMAN_1440p_HDTV_XVID_-SPARKS.mkv,XVID,,,GERMAN,movie,1440p,,HDTV,,Demon Slayer,2021
Parasite.1992.480p.BluRay.AVC.mkv,,,,,movie,480p,,,,Parasite,1992
The_Shawshank_Redemption_1997_720p_WEB-DL_H.264.mkv,H.264,,,,movie,720p,,WEB-DL,,The Shawshank Redemption,1997
The-Matrix-S15E23-1440p-AMZN-H.264-.YIFY.mkv,,23,,,tv,1440p,15,AMZN,,The Matrix,
Parasite.S09E12.Origins.1080p.mkv,,12,Origins,,tv,,9,,,Parasite,
[MTBB] Fullmetal Alchemist - 17 [2160p][HEVC].mkv,,17,,,anime,2160p,,,MTBB,Fullmetal Alchemist,
[Underwater] The.Shawshank.Redemption.-.09.(1080p).mkv,,9,,,anime,1080p,,,Underwater,The Shawshank Redemption,
[Judas] The.Dark.Knight.-.07.(720p).mkv,,7,,,anime,720p,,,Judas,The Dark Knight,
The_Office_2008_2160p_BDRip_FLAC_HEVC_-SPARKS.mkv,HEVC,,,,movie,2160p,,BDRip,,The Office,2008
The_Office_3x10_Pilot_2160p_BluRay_AVC_-FraMeSToR.mkv,,10,Aftermath,,tv,2160p,3,BluRay,,The Office,
[HorribleSubs] Naruto - 14 [1440p][Multiple Subtitle].mkv,,14,,,anime,1440p,,,HorribleSubs,Naruto,
The Matrix 2024 480p DVDRip XVID -SPARKS.mkv,XVID,,,,movie,480p,,DVDRip,,The Matrix,2024
[HorribleSubs] Jujutsu Kaisen - 23 [2160p][Multiple Subtitle].mkv,,23,,,anime,2160p,S3,,HorribleSubs,Jujutsu Kaisen,
Stranger-Things-2003-RUSSIAN-REMUX-480p-DTS-HDTV-H.264.mkv,H.264,,,RUSSIAN,movie,480p,,HDTV,,Stranger Things,2003
Breaking_Bad_2003_480p_NETFLIX_DD5.1_H.264.mkv,H.264,,,,movie,480p,,NETFLIX,,Breaking Bad,2003
Stranger Things 2014 480p HDTV AVC .GROUP.mkv,AVC,,,,movie,480p,,HDTV,,Stranger Things,2014
[Underwater] Game of Thrones - 12 [480p][Multiple Subtitle].mkv,,12,,,anime,480p,,,Underwater,Game of Thrones,
Game_of_Thrones_2008_2160p_WEB-DL_TrueHD.7.1_H.264.mkv,H.264,,,,movie,2160p,,WEB-DL,,Game of Thrones,2008
Death Note.2007.480p.WEB-DL.x265.mkv,,,,,movie,480p,,,,Death Note,2007
[Erai-raws] The.Mandalorian.-.22.(2160p).mkv,,22,,,anime,2160p,,,Erai-raws,The Mandalorian,
Jujutsu Kaisen.1997.720p.BluRay.H.264.mkv,,,,,movie,720p,,,,Jujutsu Kaisen,1997
[MTBB] Interstellar - 11 [2160p].mkv,,11,,,anime,2160p,,,MTBB,Interstellar,
The-Shawshank-Redemption-2012.02.05-1440p-BDRip-DTS-x265-SPARKS.mkv,,,,,tv,1440p,,BDRip,,The Shawshank Redemption,
The-Office-S13E13-The-Beginning-HDR-DTS-1080p-HULU-H.264-SPARKS.mkv,,13,Legacy,,tv,1080p,13,HULU,,The Office,
Friends.S10E12.2160p.AMZN.mkv,,12,,,tv,,10,,,Friends,
Inception.S01E23.The-Beginning.480p.mkv,,23,The Beginning,,tv,,1,,,Inception,
[SubsPlease] Fullmetal.Alchemist.S2.-.21.(1080p).mkv,,21,,,anime,1080p,S2,,SubsPlease,Fullmetal Alchemist,
Avengers Endgame 2011 HDR 720p AMZN XVID.mkv,XVID,,,,movie,720p,,AMZN,,Avengers Endgame,2011
The-Matrix-S02E14-720p-AMZN-MP3-x264-GECKOS.mkv,,14,,,tv,720p,2,AMZN,,The Matrix,
[Commie] Attack on Titan S3 - 08 [BD][480p][HEVC].mkv,,8,,,anime,480p,S3,,Commie,Attack on Titan,
[Underwater] My Hero Academia - 08 [1440p][10bit].mkv,,8,,,anime,1440p,,,Underwater,My Hero Academia,
The Matrix.S13E15.1440p.WEB-DL.mkv,,15,,,tv,,13,,,The Matrix,
Jujutsu-Kaisen-1980-720p-HULU-HEVC-.YIFY.mkv,HEVC,,,,movie,720p,,HULU,,Jujutsu Kaisen,1980
Interstellar_S03E15_The_End_REPACK_1080p_DVDRip_x265.mkv,,15,Legacy,,tv,1080p,3,DVDRip,,Interstellar,
Attack-on-Titan.S13E23.Legacy.1440p.mkv,,23,Legacy,,tv,,13,,,Attack on Titan,
Game-of-Thrones-1996-HDR-720p-WEBRip-H.264-GECKOS.mkv,H.264,,,,movie,720p,,WEBRip,,Game of Thrones,1996
The-Mandalorian-S03E06-07-1440p-DVDRip-XVID-.SPARKS.mkv,,6,,,tv,1440p,3,DVDRip,,The Mandalorian,
Interstellar_S14E10-11_Revelations_1440p_AC3_HDTV_AVC_.GROUP.mkv,,10,Origins,,tv,1440p,14,HDTV,,Interstellar,
The_Shawshank_Redemption_1982_720p_DVDRip_x265_-RARBG.mkv,x265,,,,movie,720p,,DVDRip,,The Shawshank Redemption,1982
Breaking_Bad_1985_480p_NETFLIX_AVC.mkv,AVC,,,,movie,480p,,NETFLIX,,Breaking Bad,1985
Avengers_Endgame_1987_IMAX_2160p_BDRip_XVID_.VEXT.mkv,XVID,,,,movie,2160p,,BDRip,,Avengers Endgame,1987
The_Matrix_6x14_1440p_REMASTERED_HULU_x265.mkv,,14,,,tv,1440p,6,HULU,,The Matrix,
The Dark Knight.S14E17.720p.DVDRip.mkv,,17,,,tv,,14,,,The Dark Knight,
The-Matrix-2006-2160p-AMZN-AVC.mkv,AVC,,,,movie,2160p,,AMZN,,The Matrix,2006
Inception_1980_480p_AMZN_AVC.mkv,AVC,,,,movie,480p,,AMZN,,Inception,1980
Parasite-4x06-480p-WEBRip-x265-.GROUP.mkv,,6,,,tv,480p,4,WEBRip,,Parasite,
[Commie] Inception - 15 [1440p][Multiple Subtitle].mkv,,15,,,anime,1440p,S3,,Commie,Inception,
The Dark Knight 2015 DC 1080p NETFLIX XVID .RARBG.mkv,XVID,,,,movie,1080p,,NETFLIX,,The Dark Knight,2015
The-Dark-Knight-1986.01.10-The-End-1440p-DTS-HD.MA.5.1-AMZN-x264.mkv,,,Origins,,tv,1440p,,AMZN,,The Dark Knight,
Inception-2010-2160p-BluRay-HEVC.mkv,HEVC,,,,movie,2160p,,BluRay,,Inception,2010
One Piece S04E13 Aftermath 2160p WEBRip H.264.mkv,,13,The End,,tv,2160p,4,WEBRip,,One Piece,
Stranger Things 1999 1080p DVDRip AVC -AMIABLE.mkv,AVC,,,,movie,1080p,,DVDRip,,Stranger Things,1999
The Office.S01E23.Pilot.1080p.mkv,,23,Pilot,,tv,,1,,,The Office,
Attack-on-Titan-2023-10bit-1080p-DDP5.1-NETFLIX-HEVC-.AMIABLE.mkv,HEVC,,,,movie,1080p,,NETFLIX,,Attack on Titan,2023
Game of Thrones 2022 2160p WEB-DL DTS-HD.MA.5.1 x265 .FraMeSToR.mkv,x265,,,,movie,2160p,,WEB-DL,,Game of Thrones,2022
The Dark Knight 2021 IMAX 480p DDP5.1 AMZN XVID .AMIABLE.mkv,XVID,,,,movie,480p,,AMZN,,The Dark Knight,2021
Avengers_Endgame_2014.11.20_1080p_NETFLIX_HEVC_.YIFY.mkv,,,,,tv,1080p,,NETFLIX,,Avengers Endgame,
The_Mandalorian_2004_JAPANESE_480p_WEBRip_DTS_H.264.mkv,H.264,,,JAPANESE,movie,480p,,WEBRip,,The Mandalorian,2004
The_Matrix_S08E08_The_Beginning_720p_BluRay_HEVC.mkv,,8,The Beginning,,tv,720p,8,BluRay,,The Matrix,
Fullmetal-Alchemist-2015-480p-WEBRip-AC3-x264-.GROUP.mkv,x264,,,,movie,480p,,WEBRip,,Fullmetal Alchemist,2015
Parasite-14x15-480p-DC-AMZN-AVC-.RARBG.mkv,,15,,,tv,480p,14,AMZN,,Parasite,
[MTBB] Demon Slayer - 03 [BD][480p][Uncensored].mkv,,3,,,anime,480p,,,MTBB,Demon Slayer,
The_Matrix_S03E16_720p_WEBRip_HEVC_.GECKOS.mkv,,16,,,tv,720p,3,WEBRip,,The Matrix,
Fullmetal_Alchemist_1990_JAPANESE_2160p_BDRip_AAC_XVID_-SPARKS.mkv,XVID,,,JAPANESE,movie,2160p,,BDRip,,Fullmetal Alchemist,1990
[SubsPlease] Game of Thrones - 07 [2160p].mkv,,7,,,anime,,,,SubsPlease,Game of Thrones,
Parasite.S03E20.Revelations.480p.mkv,,20,Revelations,,tv,,3,,,Parasite,
Friends-13x08-480p-10bit-AMZN-H.264-.FraMeSToR.mkv,,8,,,tv,480p,13,AMZN,,Friends,
The Office.S06E04.Pilot.2160p.mkv,,4,Pilot,,tv,,6,,,The Office,
My_Hero_Academia_S11E10-11_480p_HDTV_x264_.YIFY.mkv,,10,,,tv,480p,11,HDTV,,My Hero Academia,
Demon_Slayer.4x21.1440p.BDRip.mkv,,21,,,tv,,4,,,Demon Slayer,
Avengers-Endgame-1987.07.20-Pilot-1080p-AMZN-H.264.mkv,,,New Dawn,,tv,1080p,,AMZN,,Avengers Endgame,
Fullmetal Alchemist 1983 HDR 720p AMZN x265.mkv,x265,,,,movie,720p,,AMZN,,Fullmetal Alchemist,1983
[Judas] Pulp Fiction - 05 [1080p].mkv,,5,,,anime,1080p,,,Judas,Pulp Fiction,
[Underwater] The Godfather - 06 [BD][1080p][Uncensored].mkv,,6,,,anime,1080p,,,Underwater,The Godfather,
Parasite-S05E23-Pilot-2160p-BluRay-HEVC.mkv,,23,Aftermath,,tv,2160p,5,BluRay,,Parasite,
[MTBB] The Matrix - 24 [720p].mkv,,24,,,anime,,,,MTBB,The Matrix,
Demon_Slayer_2020_PROPER_480p_NETFLIX_HEVC_.AMIABLE.mkv,HEVC,,,,movie,480p,,NETFLIX,,Demon Slayer,2020
Fight-Club-2023-1440p-AMZN-DDP5.1-HEVC.mkv,HEVC,,,,movie,1440p,,AMZN,,Fight Club,2023
Demon.Slayer.s05e14.1080p.HULU.mkv,,14,,,tv,,5,,,Demon Slayer,
Jujutsu Kaisen 9x16 The Beginning 1440p NETFLIX x264 .FraMeSToR.mkv,,16,Aftermath,,tv,1440p,9,NETFLIX,,Jujutsu Kaisen,
Fight Club 9x07 720p AMZN XVID .GECKOS.mkv,,7,,,tv,720p,9,AMZN,,Fight Club,
Naruto-1992-1440p-BDRip-MP3-H.264-.GROUP.mkv,H.264,,,,movie,1440p,,BDRip,,Naruto,1992
[Underwater] The.Mandalorian.-.02.(480p).mkv,,2,,,anime,480p,,,Underwater,The Mandalorian,
The_Dark_Knight_S11E18_Revelations_480p_AAC_HDTV_HEVC.mkv,,18,Aftermath,,tv,480p,11,HDTV,,The Dark Knight,
The Mandalorian 2018.03.25 Origins 1080p DVDRip x265.mkv,,,The End,,tv,1080p,,DVDRip,,The Mandalorian,
Inception_2007_PROPER_480p_DTS-HD.MA.5.1_DVDRip_XVID.mkv,XVID,,,,movie,480p,,DVDRip,,Inception,2007
[Erai-raws] One Piece - 10 [720p].mkv,,10,,,anime,,,,Erai-raws,One Piece,
Death Note S12E05-06 New Dawn REPACK 1080p AMZN AVC .VEXT.mkv,,5,Revelations,,tv,1080p,12,AMZN,,Death Note,
The-Shawshank-Redemption-1989-1440p-HDTV-H.264.mkv,H.264,,,,movie,1440p,,HDTV,,The Shawshank Redemption,1989
[Judas] The Shawshank Redemption - 02 [BD][1440p][Uncensored].mkv,,2,,,anime,1440p,,,Judas,The Shawshank Redemption,
My_Hero_Academia_2004_480p_AMZN_XVID_-RARBG.mkv,XVID,,,,movie,480p,,AMZN,,My Hero Academia,2004
The-Godfather-S10E19-720p-HDTV-TrueHD.7.1-x264-FraMeSToR.mkv,,19,,,tv,720p,10,HDTV,,The Godfather,
The-Godfather-S10E04-05-The-End-1440p-WEB-DL-x264.mkv,,4,New Dawn,,tv,1440p,10,WEB-DL,,The Godfather,
One Piece 3x08 The End 1440p BDRip AVC -FraMeSToR.mkv,,8,Revelations,,tv,1440p,3,BDRip,,One Piece,
Demon-Slayer-4x20-New-Dawn-UNRATED-1440p-WEBRip-HEVC.mkv,,20,Revelations,,tv,1440p,4,WEBRip,,Demon Slayer,
Naruto-4x05-1440p-BDRip-DDP5.1-H.264-FraMeSToR.mkv,,5,,,tv,1440p,4,BDRip,,Naruto,
[MTBB] Demon.Slayer.-.08.(480p).mkv,,8,,,anime,480p,,,MTBB,Demon Slayer,
The Mandalorian S03E08E09 The End HDR AC3 480p WEB-DL AVC .VEXT.mkv,,8,Aftermath,,tv,480p,3,WEB-DL,,The Mandalorian,
One_Piece.1997.1080p.AMZN.XVID.mkv,,,,,movie,1080p,,,,One Piece,1997
[MTBB] Friends - 13 [1080p][Multiple Subtitle].mkv,,13,,,anime,1080p,S3,,MTBB,Friends,
Naruto_1991_DC_2160p_MP3_WEBRip_x265_.SPARKS.mkv,x265,,,,movie,2160p,,WEBRip,,Naruto,1991
Attack_on_Titan_S07E16E17_Pilot_1440p_HDTV_H.264_.AMIABLE.mkv,,16,Revelations,,tv,1440p,7,HDTV,,Attack on Titan,
[Erai-raws] Friends - 05 [2160p].mkv,,5,,,anime,,,,Erai-raws,Friends,
One Piece 2023 PROPER 1080p WEB-DL XVID.mkv,XVID,,,,movie,1080p,,WEB-DL,,One Piece,2023
The_Mandalorian_S12E11_Origins_2160p_HULU_x264_.GROUP.mkv,,11,The End,,tv,2160p,12,HULU,,The Mandalorian,
[Judas] The Office - 13 [BD][720p][HEVC].mkv,,13,,,anime,720p,,,Judas,The Office,
[HorribleSubs] My Hero Academia - 12 [1080p].mkv,,12,,,anime,1080p,,,HorribleSubs,My Hero Academia,
Naruto 1983 2160p DVDRip FLAC XVID .FraMeSToR.mkv,XVID,,,,movie,2160p,,DVDRip,,Naruto,1983
[Underwater] The Shawshank Redemption - 11 [720p][10bit].mkv,,11,,,anime,720p,,,Underwater,The Shawshank Redemption,
Stranger_Things_2019_HDR_720p_BDRip_H.264_.AMIABLE.mkv,H.264,,,,movie,720p,,BDRip,,Stranger Things,2019
Fight Club 2024 RUSSIAN 480p AMZN AC3 x265 .GECKOS.mkv,x265,,,RUSSIAN,movie,480p,,AMZN,,Fight Club,2024
My_Hero_Academia_1988_UNRATED_480p_BDRip_H.264.mkv,H.264,,,,movie,480p,,BDRip,,My Hero Academia,1988
Demon_Slayer_2023_720p_DVDRip_x264_.VEXT.mkv,x264,,,,movie,720p,,DVDRip,,Demon Slayer,2023
Interstellar.1996.1440p.AMZN.AVC.mkv,,,,,movie,1440p,,,,Interstellar,1996
Attack-on-Titan-1996-1080p-DVDRip-H.264.mkv,H.264,,,,movie,1080p,,DVDRip,,Attack on Titan,1996
Death-Note-S09E13E14-New-Dawn-2160p-MP3-NETFLIX-x264.mkv,,13,Pilot,,tv,2160p,9,NETFLIX,,Death Note,
Game_of_Thrones_1989_KOREAN_480p_WEB-DL_FLAC_x265.mkv,x265,,,KOREAN,movie,480p,,WEB-DL,,Game of Thrones,1989
The Matrix S09E10-11 The End PROPER 1080p NETFLIX AVC.mkv,,10,The Beginning,,tv,1080p,9,NETFLIX,,The Matrix,
Death Note 2021 2160p BluRay HEVC .AMIABLE.mkv,HEVC,,,,movie,2160p,,BluRay,,Death Note,2021
[Judas] Death Note - 06 [1080p][Multiple Subtitle].mkv,,6,,,anime,1080p,,,Judas,Death Note,
[Erai-raws] Friends.-.12.(2160p).mkv,,12,,,anime,2160p,,,Erai-raws,Friends,
Breaking-Bad-2016-480p-DVDRip-MP3-x265-YIFY.mkv,x265,,,,movie,480p,,DVDRip,,Breaking Bad,2016
Attack_on_Titan_1982_KOREAN_1440p_NETFLIX_AVC_.SPARKS.mkv,AVC,,,KOREAN,movie,1440p,,NETFLIX,,Attack on Titan,1982
Inception 1996 2160p WEBRip x264 -VEXT.mkv,x264,,,,movie,2160p,,WEBRip,,Inception,1996
Friends 1999 1080p NETFLIX DTS x265.mkv,x265,,,,movie,1080p,,NETFLIX,,Friends,1999
[HorribleSubs] The Matrix - 03 [BD][1440p][HEVC].mkv,,3,,,anime,1440p,,,HorribleSubs,The Matrix,
Pulp_Fiction_1989.10.22_1080p_REMUX_WEBRip_x265_.GECKOS.mkv,,,,,tv,1080p,,WEBRip,,Pulp Fiction,
Fight_Club.s15e15.1080p.NETFLIX.mkv,,15,,,tv,,15,,,Fight Club,
Breaking_Bad_1987_2160p_BDRip_AAC_H.264_.SPARKS.mkv,H.264,,,,movie,2160p,,BDRip,,Breaking Bad,1987
The Matrix 2002.06.22 1440p HULU x265.mkv,,,,,tv,1440p,,HULU,,The Matrix,
My_Hero_Academia_S04E21-22_1080p_PROPER_BDRip_x264.mkv,,21,,,tv,1080p,4,BDRip,,My Hero Academia,
[Judas] Fight Club - 06 [BD][1440p][DualAudio].mkv,,6,,,anime,1440p,,,Judas,Fight Club,
[MTBB] The Mandalorian - 22 [1080p][HEVC].mkv,,22,,,anime,1080p,,,MTBB,The Mandalorian,
[MTBB] The Matrix - 07 [1080p].mkv,,7,,,anime,1080p,,,MTBB,The Matrix,
[Judas] Parasite - 13 [2160p].mkv,,13,,,anime,,,,Judas,Parasite,
Fullmetal Alchemist 1999 REMUX 1440p BDRip x265 -FraMeSToR.mkv,x265,,,,movie,1440p,,BDRip,,Fullmetal Alchemist,1999
[SubsPlease] Jujutsu Kaisen - 11 [1080p][Multiple Subtitle].mkv,,11,,,anime,1080p,,,SubsPlease,Jujutsu Kaisen,
Avengers Endgame.S05E21.2160p.HDTV.mkv,,21,,,tv,,5,,,Avengers Endgame,
The Godfather 7x12 Aftermath 1440p DDP5.1 NETFLIX XVID.mkv,,12,The End,,tv,1440p,7,NETFLIX,,The Godfather,
Game_of_Thrones_1999_1440p_NETFLIX_H.264_.AMIABLE.mkv,H.264,,,,movie,1440p,,NETFLIX,,Game of Thrones,1999
Pulp-Fiction-6x12-Revelations-10bit-1080p-BDRip-x264-.SPARKS.mkv,,12,Aftermath,,tv,1080p,6,BDRip,,Pulp Fiction,
Fight_Club_2007_2160p_BluRay_AVC_.FraMeSToR.mkv,AVC,,,,movie,2160p,,BluRay,,Fight Club,2007
Death Note 2016.04.17 Revelations REPACK 2160p BDRip XVID .AMIABLE.mkv,,,Pilot,,tv,2160p,,BDRip,,Death Note,
[SubsPlease] Friends - 12 [720p][HEVC].mkv,,12,,,anime,720p,S2,,SubsPlease,Friends,
Avengers-Endgame-S02E16E17-2160p-DC-TrueHD.7.1-DVDRip-HEVC-GROUP.mkv,,16,,,tv,2160p,2,DVDRip,,Avengers Endgame,
The_Matrix_2007.05.21_1440p_BluRay_x265_-GROUP.mkv,,,,,tv,1440p,,BluRay,,The Matrix,
[Commie] Interstellar.-.13.(720p).mkv,,13,,,anime,720p,,,Commie,Interstellar,
[Underwater] The.Matrix.-.22.(720p).mkv,,22,,,anime,720p,,,Underwater,The Matrix,
Demon-Slayer-2010-480p-BluRay-HEVC-.VEXT.mkv,HEVC,,,,movie,480p,,BluRay,,Demon Slayer,2010
Friends S03E19 Aftermath 720p HULU XVID.mkv,,19,New Dawn,,tv,720p,3,HULU,,Friends,
Jujutsu Kaisen S14E18 The End 1080p BluRay H.264 .AMIABLE.mkv,,18,Revelations,,tv,1080p,14,BluRay,,Jujutsu Kaisen,
Friends-5x08-1080p-IMAX-BDRip-HEVC-RARBG.mkv,,8,,,tv,1080p,5,BDRip,,Friends,
[MTBB] Friends.S3.-.10.(480p).mkv,,10,,,anime,480p,S3,,MTBB,Friends,
Naruto 2017.07.17 2160p NETFLIX x264.mkv,,,,,tv,2160p,,NETFLIX,,Naruto,
The Office 2020 1080p BluRay DDP5.1 x264 -RARBG.mkv,x264,,,,movie,1080p,,BluRay,,The Office,2020
One_Piece_1999_1440p_WEBRip_AVC_-SPARKS.mkv,AVC,,,,movie,1440p,,WEBRip,,One Piece,1999
The Dark Knight 1990 480p HULU AVC -GECKOS.mkv,AVC,,,,movie,480p,,HULU,,The Dark Knight,1990
[SubsPlease] Fullmetal Alchemist - 09 [1440p].mkv,,9,,,anime,,,,SubsPlease,Fullmetal Alchemist,
One Piece.1985.720p.BluRay.XVID.mkv,,,,,movie,720p,,,,One Piece,1985
The-Matrix-8x15-1440p-WEBRip-XVID-VEXT.mkv,,15,,,tv,1440p,8,WEBRip,,The Matrix,
[Erai-raws] The Mandalorian - 11 [1080p].mkv,,11,,,anime,1080p,,,Erai-raws,The Mandalorian,
The.Matrix.S03E06.The.Beginning.1440p.mkv,,6,The Beginning,,tv,,3,,,The Matrix,
